Canada,"[56.130366, -106.346771]"
Libyan Arab Jamahiriya,"[26.3351, 17.228331]"
Sao Tome and Principe,"[0.18636, 6.613080999999999]"
Turkmenistan,"[38.969719, 59.556278]"
Saint Helena,"[-15.9654353, -5.7115281]"
Montenegro,"[42.708678, 19.37439]"
Lithuania,"[55.169438, 23.881275]"
Saint Pierre and Miquelon,"[46.8852, -56.3159]"
Saint Kitts and Nevis,"[17.357822, -62.782998]"
Ethiopia,"[9.145000000000001, 40.489673]"
Aruba,"[12.52111, -69.968338]"
Sri Lanka,"[7.873053999999999, 80.77179699999999]"
Swaziland,"[-26.522503, 31.465866]"
Argentina,"[-38.416097, -63.61667199999999]"
Bolivia,"[-16.290154, -63.58865299999999]"
Cameroon,"[7.369721999999999, 12.354722]"
Burkina Faso,"[12.238333, -1.561593]"
Bahrain,"[26.0667, 50.5577]"
Saudi Arabia,"[23.885942, 45.079162]"
American Samoa,"[-14.3016396, -170.6961815]"
Montserrat,"[16.742498, -62.187366]"
United States Minor Outlying Islands,"[19.2823192, 166.647047]"
Cocos (Keeling) Islands,"[-12.1706919, 96.8417478]"
Slovenia,"[46.151241, 14.995463]"
Guatemala,"[15.783471, -90.23075899999999]"
Bosnia and Herzegovina,"[43.915886, 17.679076]"
Russian Federation,"[61.52401, 105.318756]"
Jordan,"[30.585164, 36.238414]"
"Virgin Islands, British","[18.420695, -64.639968]"
Spain,"[40.46366700000001, -3.74922]"
Liberia,"[6.428055, -9.429499000000002]"
Netherlands,"[52.132633, 5.291265999999999]"
Armenia,"[40.069099, 45.038189]"
Pakistan,"[30.375321, 69.34511599999999]"
Oman,"[21.4735329, 55.975413]"
Marshall Islands,"[11.3246908, 166.8417424]"
Christmas Island,"[-10.447525, 105.690449]"
Gabon,"[-0.803689, 11.609444]"
Niue,"[-19.054445, -169.867233]"
Finland,"[61.92410999999999, 25.748151]"
Monaco,"[43.73841760000001, 7.424615799999999]"
Bahamas,"[25.03428, -77.39627999999999]"
Wallis and Futuna,"[-14.2938, -178.1165]"
New Zealand,"[-40.900557, 174.885971]"
Yemen,"[15.552727, 48.516388]"
Jamaica,"[18.109581, -77.297508]"
Albania,"[41.153332, 20.168331]"
Samoa,"[-13.759029, -172.104629]"
Norfolk Island,"[-29.040835, 167.954712]"
United Arab Emirates,"[23.424076, 53.847818]"
Guam,"[13.444304, 144.793731]"
India,"[20.593684, 78.96288]"
Azerbaijan,"[40.143105, 47.576927]"
Cote D'Ivoire,"[7.539988999999999, -5.547079999999999]"
Lesotho,"[-29.609988, 28.233608]"
Saint Vincent and the Grenadines,"[13.2528179, -61.19716279999999]"
Cyprus,"[35.126413, 33.429859]"
Macao,"[22.198745, 113.543873]"
Pitcairn,"[-24.3767537, -128.3242376]"
Turkey,"[38.963745, 35.243322]"
Afghanistan,"[33.93911, 67.709953]"
Czech Republic,"[49.81749199999999, 15.472962]"
Eritrea,"[15.179384, 39.782334]"
